p,q,dim,C2,Z,Z_normalized,Z_dimensionless,C_matter,S_holonomy,covering_radius_mean,covering_radius_std,kissing_number_mean,packing_efficiency_mean,packing_efficiency_std,n_shells,Z_eff,C_per_state,Z_per_state,S_per_state,Z_per_C2,min_pq,max_pq,mixing_index,symmetry_index,rep_type
4,1,35,12.0,0.2827197260271602,0.02355997716893,0.0224981209534044,1303.625251390641,368.56057391525,1.4248810316976634,0.798417134730132,2.611111111111111,0.787574967732643,0.3662038236659438,6,0.2827197260271602,37.246435754018314,0.008077706457918863,10.530302111864286,0.02355997716893002,1,4,4,3,mixed
4,2,60,15.333333333333334,0.3045069228322347,0.0198591471412327,0.0242318909872262,1824.891753543866,555.6921723735636,1.2534942590758376,0.7984594224220709,1.915419501133787,0.7870969656515018,0.3425322527997118,7,0.3045069228322347,30.41486255906443,0.005075115380537245,9.26153620622606,0.019859147141232696,2,4,8,2,mixed
4,3,90,19.33333333333333,0.3029908870509893,0.0156719424336718,0.0241112486929815,2489.520022965362,754.3018800894744,1.086464832074061,0.8068134121674972,1.8427083333333332,0.789897048835918,0.3319104987958404,8,0.3029908870509893,27.66133358850402,0.003366565411677659,8.38113200099416,0.015671942433671864,3,4,12,1,mixed
4,4,125,24.0,0.3110972134649404,0.0129623838943725,0.0247563296525299,3314.692230716053,1031.1915164696516,0.8950808895060105,0.8134657739068387,1.8719223985890647,0.8444444444380782,0.3235604395283881,9,0.3110972134649404,26.517537845728423,0.0024887777077195234,8.249532131757212,0.012962383894372516,4,4,16,0,mixed
5,0,21,13.333333333333334,0.0160188389664762,0.0012014129224857,0.0012747387020538,1301.1135327647391,20.842328158461413,1.7827079921352549,0.9662101514836322,0.9722222222222222,0.734708048408478,0.393253770543248,6,0.0160188389664762,61.95778727451139,0.0007628018555464858,0.9924918170695911,0.001201412922485715,0,5,0,5,pure
5,1,48,16.333333333333332,0.1636813401063513,0.0100213065371235,0.0130253471849157,1826.5098283885704,298.965576428063,1.2152038737187645,0.8170866896808787,2.786394557823129,0.8195345922013297,0.3466843673842062,7,0.1636813401063513,38.05228809142855,0.0034100279188823187,6.228449508917979,0.01002130653712355,1,5,5,4,mixed
5,2,81,20.0,0.2366573475971166,0.0118328673798558,0.0188325933445489,2486.4352073330683,588.4331611395306,1.0927035374444314,0.8002576409152186,1.7895833333333333,0.8231227687910352,0.3303049982950051,8,0.2366573475971166,30.69673095472924,0.0029216956493471184,7.264606927648527,0.01183286737985583,2,5,10,3,mixed
5,3,120,24.33333333333333,0.2615540120191559,0.0107487950144858,0.0208138069491828,3310.764930497585,865.9438504239653,0.9530866201240666,0.8026326309515385,2.00515873015873,0.818041381729522,0.3188128464969589,9,0.2615540120191559,27.58970775414654,0.002179616766826299,7.216198753533044,0.01074879501448586,3,5,15,2,mixed
6,0,28,18.0,0.015954012364656,0.0008863340202586,0.0012695799649921,1817.286711169177,28.99301466011813,1.5459266520470132,1.014260678929739,1.061904761904762,0.7682806389995995,0.3800509666980052,7,0.015954012364656,64.9030968274706,0.0005697861558805714,1.0354648092899332,0.0008863340202586666,0,6,0,6,pure
6,1,63,21.33333333333333,0.1192483353842838,0.0055897657211383,0.0094894810159444,2481.9820020024163,295.9722221925403,1.0614306107785527,0.8154602244516762,2.6625,0.8430531197376233,0.3294427143585001,8,0.1192483353842838,39.39653971432407,0.001892830720385457,4.697971780833973,0.0055897657211383045,1,6,6,5,mixed
6,2,105,25.33333333333333,0.1985915246815957,0.0078391391321682,0.015803411404616,3299.993233779444,655.3506877352092,0.9610637890384088,0.7967650801787584,1.807231040564374,0.8505170745055521,0.3194018336532012,9,0.1985915246815957,31.428506988375656,0.0018913478541104352,6.241435121287707,0.007839139132168252,2,6,12,4,mixed
7,0,36,23.33333333333333,0.0151143764242619,0.0006477589896112,0.0012027638598364,2458.931720001579,37.16521961766163,1.3630060400793682,1.0315462790057746,1.1375,0.7941941738227525,0.367260962076016,8,0.0151143764242619,68.30365888893274,0.0004198437895628306,1.032367211601712,0.0006477589896112245,0,7,0,7,pure
7,1,80,27.0,0.1022322968121599,0.0037863813634133,0.0081353876906465,3281.469101843409,335.4721231995874,0.9434577775494686,0.8046010934453843,2.696649029982364,0.8611111111031534,0.3142696805301679,9,0.1022322968121599,41.018363773042616,0.0012779037101519988,4.193401539994842,0.0037863813634133295,1,7,7,6,mixed
8,0,45,29.33333333333333,0.0141458810297642,0.0004822459441965,0.0011256934451384,3234.715125848502,45.75789533543167,1.2179706222445423,1.032495443388748,1.2015873015873015,0.8148148148136358,0.3552467795062438,9,0.0141458810297642,71.88255835218894,0.0003143529117725378,1.0168421185651482,0.0004822459441965069,0,8,0,8,pure
